A_23_P342744,A_24_P246891,A_23_P24535,A_23_P75362,A_32_P76399,A_23_P102973,A_23_P133332,A_23_P257335,A_24_P192988,A_23_P151106,A_23_P120970,A_24_P810290,A_23_P131825,A_23_P206684,A_32_P32061,A_23_P79122,A_23_P368278,A_23_P13344,A_23_P401709,A_24_P67308,A_23_P430381,A_24_P297119,A_23_P320530,A_24_P649282,A_23_P27229,A_24_P766208,A_23_P147255,A_24_P380679,A_23_P256773,A_23_P75529,A_32_P230828,A_23_P104641,A_23_P101871,A_24_P63563,A_23_P436369,A_23_P325690,A_24_P216765,A_23_P359245,A_23_P57370,A_24_P7085,A_23_P119295,A_23_P123555,A_23_P304386,A_32_P49616,A_23_P65068,A_24_P12932,A_23_P251680,A_24_P91472,A_23_P168443,A_23_P71981,A_24_P386323,A_24_P327050,A_23_P27075,A_23_P77031,A_23_P104676,A_23_P163955,A_23_P50919,A_24_P310009,A_23_P131394,A_24_P690983,A_23_P41716,A_32_P215714,A_23_P254741,A_23_P98605,A_23_P90383,A_23_P31064,A_24_P303454,A_24_P271542,A_32_P155506,A_24_P257359,A_23_P150069,A_23_P388914,A_24_P116710,A_23_P1926,A_23_P635,A_23_P38887,A_23_P154605,A_23_P7744,A_23_P207387,A_23_P146908,A_23_P21485,A_23_P69431,A_23_P44794,A_23_P430181,A_23_P113184,A_24_P289029,A_23_P138881,A_23_P113623,A_23_P29318,A_23_P106822,A_23_P14886,A_23_P164421,A_23_P3562,A_23_P132248,A_24_P395042,A_23_P6456,A_23_P112548,A_23_P17354,A_23_P60324,A_23_P83976,SurvivalDays
1.034,2.5315,-2.5493,0.45155,0.62916,0.49973,0.18536,0.60221,-1.0008,0.73462,0.51823,1.6592,-1.7649,0.62034,2.6739,-0.27855,0.38289,0.97232,0.12527,0.6562,-0.096469,0.86395,0.17059,0.53454,-1.1359,-0.04558,0.96217,-0.22817,0.76979,0.35433,1.0565,0.2429,-0.89785,0.27902,-0.38196,-4.4505,0.7698,-1.4477,1.0741,0.40719,0.093457,-0.94604,0.23347,0.81456,0.16323,0.28833,-0.31305,0.46617,-1.097,0.048805,2.2599,0.40841,-0.51643,-0.18657,-0.10097,0.60529,1.3444,1.8208,0.76307,1.9662,0.99794,0.74123,-3.8345,0.21496,0.37192,-2.2111,-2.9262,0.34724,0.51085,0.3778,0.41982,0.19812,0.53876,-0.014906,0.36544,0.18388,0.2827,1.4008,-0.037801,0.7058,-0.27081,0.66394,2.308,-0.17476,-0.23323,-0.78436,0.000447,0.35076,0.65641,0.91043,0.23428,0.40897,0.044604,-0.022695,-0.18543,0.94794,-1.0394,-0.90155,2.5787,0.09867,1407
-0.0049677,1.0692,-0.79588,-0.16545,0.15474,0.22665,0.099411,0.48914,-0.72101,0.021052,0.44009,0.86522,-0.39525,-0.11853,-0.08148,-0.11002,0.35504,0.47826,0.29299,0.1857,0.11436,0.8433,-0.074566,0.82805,-0.15741,0.40952,-0.44003,0.076396,-0.17584,-0.40998,0.078743,0.0081234,-0.65519,-0.074227,-1.1315,-0.83939,-0.20427,-0.35717,0.18423,-0.096738,-0.41745,0.63481,0.11469,0.084213,-0.86632,0.46663,0.54012,0.077231,0.3209,-0.02155,-0.071289,-0.086872,0.56764,0.41768,-0.27709,0.46945,-0.63885,1.4673,-0.25654,-0.11332,0.000166,-0.10719,-1.0786,0.20678,0.33101,-0.61808,0.20452,-0.094853,-0.50699,-0.0069513,0.36302,-0.0043101,0.0093274,-0.0035214,0.063119,0.29736,0.0012102,0.17548,-0.39448,0.62338,0.088433,0.15237,-0.063906,0.1025,-0.15152,0.050407,0.08638,-0.060998,0.083441,0.081687,0.25695,0.2335,0.000433,0.07751,-0.14523,0.34875,-0.56722,-0.52938,-0.035003,-1.0482,694
-0.34433,-0.56852,0.58211,-1.2632,-1.3063,-0.023503,-1.5536,-0.41053,0.18204,-0.93036,-2.5162,-0.46336,0.88971,-1.8358,-0.15926,-0.91008,-0.38635,0.014182,-0.75878,-1.0332,-0.27989,0.048077,0.19331,-4.3292,-0.015912,-1.0876,-0.5565,1.6522,-1.1636,-0.37577,-1.0452,-1.0126,0.25041,-0.74344,0.50582,-2.5064,-1.8305,6.4271,-1.0371,-0.47186,-1.0343,1.2575,-0.31875,-0.4183,-1.9095,-1.3284,-2.3883,-1.3729,1.2495,-0.24889,-1.0591,-0.4774,-1.5447,-0.70957,-1.0129,-1.3308,-0.93392,-1.3711,0.07519,-0.69415,-1.5086,-0.37665,-2.3202,-0.46568,-0.82542,-1.0573,1.7484,-1.7319,-1.7334,-0.96835,0.17487,0.30394,-0.30942,-1.4513,-0.47142,-0.80684,-1.7985,-2.9004,-0.87588,-0.154,-2.4027,-1.3286,-1.1358,-0.6142,-0.47705,-0.60317,0.52887,-1.0262,-2.3187,-1.6889,-1.4461,-1.1592,-0.37751,-1.1466,-2.1032,-0.95066,0.50341,-1.2002,-1.1946,-0.60387,162
1.4318,-1.7487,-1.1996,-0.65274,-0.18371,-0.18308,-0.077219,-0.62871,0.88433,0.073204,0.05437,-1.2094,-0.72847,-0.11294,0.79343,-0.33128,-1.0183,0.078408,0.09273,0.14047,0.2184,-0.91786,-0.36429,-5.383,-0.46054,-0.092085,-0.33981,0.44658,-0.11156,-0.75459,0.75953,0.016712,-1.6604,0.16777,-0.50901,-2.5402,0.68579,5.5443,0.17017,0.53654,-0.59305,-0.6018,0.42389,-0.16522,-1.8802,0.68393,0.15823,0.27577,1.2404,0.28306,-0.39567,0.12849,0.71336,1.1567,0.4357,0.061307,0.57514,-5.0007,-0.041766,0.36771,0.74063,0.19755,-0.5079,-0.028745,0.49881,-1.8511,-1.3189,-0.0088096,-0.12461,0.2818,-0.14057,0.18929,0.66034,0.29844,0.87583,0.076264,-1.571,-0.54629,0.38811,-0.036505,-1.8352,0.056032,-2.8678,0.070653,-0.23676,0.22433,1.1665,-0.35687,0.30729,0.26006,-0.37391,-0.29949,-0.11726,0.2453,-0.45765,-0.012242,-0.89918,-3.7035,0.0010591,0.042792,640
-0.39802,0.20156,0.41768,-0.57971,-0.17658,-0.25756,-0.32646,-1.7286,1.9214,-0.18037,0.13014,-1.2227,1.1901,-0.35668,-0.21123,-0.12372,-0.2071,0.87395,-0.44857,-0.23588,-0.054985,-1.3665,-0.070953,-2.4757,0.79034,0.092952,1.1081,0.97762,0.060934,-0.61343,0.65634,0.11116,1.2158,-0.39223,-0.11712,1.0317,-0.17052,1.9635,-0.17215,-0.17633,-0.21524,0.63033,-0.80263,0.66518,1.4577,0.094926,-0.75474,-0.34051,2.1378,-0.3036,-0.13386,-0.62579,-0.73722,1.6883,-0.20541,-0.51384,-1.4074,-1.44,-0.37427,-0.21576,0.067528,-0.2627,-1.6245,-0.0078239,0.22239,0.064013,-0.050774,-0.24221,-1.6992,-0.029477,-0.040557,0.0043101,-0.67744,0.14639,0.44936,-0.15594,-0.60779,-1.1165,-0.61091,-0.79986,-0.56438,-0.18714,-1.0568,-0.080414,-0.39947,-0.40052,-0.083219,-0.019666,-0.36398,0.14082,-0.53778,-0.27183,-0.57673,-0.56792,0.091675,-0.2606,0.45333,-0.75375,0.029752,0.061631,399
1.1037,0.74543,-2.0402,2.3586,1.5234,1.1066,1.1188,0.79854,-2.0233,0.45298,0.94645,0.78219,-0.47438,1.0747,1.0713,1.2,1.1457,1.0134,1.2644,0.77179,1.4664,1.7267,-0.66139,0.32838,-1.1263,1.0191,1.325,-1.25,0.9479,0.69828,1.1849,1.0954,-0.67354,0.12452,-0.33307,-2.1111,0.39165,-2.8532,0.88667,1.445,0.8566,-0.19946,1.0339,0.65313,-1.929,0.91327,0.89893,0.84559,-0.91559,0.9823,0.71639,0.50223,1.1884,-0.57003,1.1866,1.1435,0.86602,0.52968,0.12937,0.93156,0.90771,0.47035,-2.0391,1.1174,1.5409,-1.558,0.36061,1.4329,0.98138,1.2035,0.99527,1.9513,2.0275,0.97848,0.90841,0.78495,1.2232,0.73528,1.595,0.31867,1.6357,1.227,1.907,0.42477,0.961,0.87574,-1.3708,0.86954,0.73872,1.0011,0.53794,0.97362,0.40728,1.3083,1.3964,0.76166,-0.21792,2.4211,0.51694,-1.7283,1097
0.0033245,-1.131,0.97946,-0.68775,-1.0177,-0.54962,-0.70748,-0.93035,0.77729,-0.08501,-0.94493,-0.39801,0.34787,-0.72108,-0.8113,-0.20857,-0.84406,-0.044199,-0.65024,0.017075,-1.1153,-1.4922,0.29723,-3.6692,-0.46439,-0.3217,-1.1743,0.49646,-0.66105,-0.62162,0.35603,-0.31129,0.98288,-0.053855,-0.4181,1.1619,-0.49982,0.82673,-0.30572,-0.38855,-0.53766,0.77695,0.078473,0.083938,0.91393,0.34894,-0.20102,-0.29532,1.2582,-0.2908,0.006659,-0.30761,-0.21882,1.9367,-0.34556,0.084356,-0.45346,-1.2779,-0.21138,0.027273,0.073148,-0.20292,1.3217,-0.29749,-0.64236,3.4421,0.7181,-0.60555,-1.3136,-0.047085,-0.2229,-0.41399,-0.69101,0.13308,-0.0032048,-0.11536,-0.38992,-0.43186,-0.31456,0.12923,-0.065425,-0.3106,-2.8219,0.24989,-0.71036,-0.66711,1.1899,-0.18849,-0.44429,-0.66877,0.18345,0.32997,-0.34217,-0.80362,0.10162,-0.55519,-0.1061,-3.0441,-0.057914,0.5968,253
-0.16017,0.60086,0.18778,-0.035375,0.3507,-0.17289,0.05878,0.44767,-0.3226,-0.056447,-0.14584,0.45636,-0.050639,-0.075243,0.55951,-0.049842,0.51548,-0.1821,0.12861,-0.029442,-0.07727,0.54893,0.1349,1.3361,0.80291,0.026123,0.01639,-0.51393,-0.0097051,0.35491,-0.79516,0.035629,-0.67538,0.21655,0.25625,-0.5523,-0.2463,-0.60405,-0.17773,-0.081736,-0.42239,0.019182,-0.38601,-0.41128,0.38277,-0.27014,-0.40702,-0.1129,-0.73553,-0.063807,-0.14469,0.42757,0.14325,-0.85771,0.23604,-0.34528,0.17851,0.67346,-0.60213,-0.20301,-0.6206,0.13936,-0.77753,-0.082742,-0.09259,0.054012,0.79088,0.010577,0.32162,-0.10429,-0.42621,0.011948,-0.089847,-0.39271,-0.39083,-0.33542,-0.22287,0.76617,0.19512,-0.29343,-0.081446,0.3085,-0.84286,0.098889,0.35084,0.048074,0.032033,-0.2471,-0.13691,-0.24835,-0.085272,-0.15772,-0.24388,-0.10417,-0.045008,-0.22658,-0.27694,-0.34123,-0.18384,-0.30783,413
-0.93635,-0.76075,0.43653,1.0667,-0.63524,-0.14913,0.20629,0.43963,-0.34973,-0.47649,-0.14697,-0.11495,0.54411,-0.030122,-1.7449,-0.28305,-0.28533,-1.0084,-0.38901,-0.63741,-0.41215,-0.77455,0.1227,-1.1403,1.2519,-0.77982,-0.30282,-0.44597,0.082937,-0.043624,-1.0043,-0.22616,0.2373,-0.16424,0.25295,0.50062,0.1144,1.6941,-0.7768,-0.6153,-0.16,-0.094567,-0.036751,-0.2814,0.64922,-0.32945,-0.44176,-0.0040579,-1.0711,-0.2749,0.043178,-0.19887,-0.1148,-0.43027,-0.42285,-0.52859,0.075173,0.22258,-0.31694,-0.056708,-1.5148,-0.2453,1.1555,-0.36283,-0.96254,1.1504,0.78874,-0.17121,0.56936,-0.50646,-0.74799,-0.52767,-0.065454,-0.38927,-0.66357,-0.46199,-1.4185,-0.43612,0.0067754,-0.35526,-0.3266,-0.76375,-0.21263,0.23512,0.19039,0.39755,-0.27989,-0.48638,-0.49021,-0.64993,0.19945,0.077522,-0.39838,-0.13896,-0.33891,-0.39547,-0.018777,0.15816,-0.21466,0.5231,810
-0.12072,-0.14478,1.5174,0.4458,-0.52952,-0.75984,0.1596,-0.23882,0.80785,0.052335,-1.0094,-0.80307,0.048073,-0.094764,-0.63243,-0.40105,-0.17641,-0.069514,-0.35162,0.01364,0.0069499,-1.1172,0.27361,-1.0026,0.87467,-0.20178,-0.88561,0.9428,-0.01318,-0.74611,-0.54722,-0.55963,0.74571,0.14805,0.28885,0.2142,-0.18524,0.94755,-0.12069,-0.17491,-0.93258,0.11487,-0.25377,-0.14496,0.6948,-0.1356,-0.83487,-0.55446,0.86211,-0.15706,-0.29229,-0.52057,-0.33749,0.98029,-0.2842,-0.54337,0.57404,-2.1352,-0.075595,-0.058634,0.22635,-0.091975,1.5971,-0.34892,-0.29975,2.6705,-0.12572,-0.83142,-0.36817,0.017637,-1.1432,-0.60559,-0.29213,-0.000565,-0.15344,-0.40855,0.212,0.67462,0.17833,-0.12549,-0.35992,0.054927,-0.61926,0.034093,-0.63186,-0.59016,0.18505,-0.031922,-0.58383,0.19367,-0.2822,0.30463,-0.17439,-0.7537,-0.089862,-0.7998,0.17202,-1.8894,-0.17472,1.3793,325
-0.69929,-2.1168,2.5563,-1.6948,-0.60503,-0.96035,0.10442,-2.1816,1.3,-0.54089,0.26612,0.62532,0.18583,-1.2641,-0.71932,-0.20965,-0.34216,-0.6915,-0.60958,-0.5098,-0.44186,-2.4001,0.19686,0.90838,1.0675,-0.79105,-0.56421,-0.036061,-0.034112,-0.04258,-1.3212,-0.97519,0.49877,0.34343,0.80702,1.4782,-0.079901,1.1737,-1.0817,0.42942,-1.3746,0.51275,-0.41671,-0.0065193,1.6261,0.16953,-0.74421,-0.66964,-1.0668,0.30639,0.071909,0.41142,0.48648,0.68708,-0.16707,-1.2035,0.58922,1.7894,-0.32003,-0.32822,-0.48233,0.29617,1.1475,-0.58251,-0.46972,2.069,-1.6475,-0.91522,-0.16626,0.18117,-1.5967,-0.62384,0.20633,0.18473,-0.26094,-0.46376,0.31636,0.15739,0.11597,0.084981,-0.94527,-0.44319,-2.3945,-0.09163,0.49384,0.01648,-0.42684,0.41956,-1.1436,-0.89882,-1.2946,0.083986,0.25981,0.39139,-0.37658,-0.9745,-0.025062,-1.9023,-0.67722,2.2727,554
-0.090373,-1.2046,1.12,-0.55248,-0.40187,0.36356,-0.58549,-1.0355,0.3213,0.065926,-0.16705,0.58941,-0.30876,-0.10036,-0.76986,-0.16901,-0.57307,0.32308,-0.18692,0.47552,-0.039542,0.30558,0.031326,-3.1535,-0.65239,-0.10408,-0.23483,-0.15753,-0.062368,-0.072416,-0.49225,0.24163,0.96722,0.12058,0.39916,0.95761,0.10323,1.9004,0.49558,0.42495,0.050014,0.80848,0.41146,0.042521,-0.0067787,0.36508,0.55296,0.68568,0.69844,0.26155,0.10534,0.57195,0.11772,0.86773,0.29339,0.63096,-0.046792,-3.3593,-0.021787,-0.073042,0.62767,-0.46985,0.67547,0.05604,0.3459,0.50183,-1.0512,0.35287,-2.1534,0.17689,-0.000925,-0.19398,0.23485,0.57426,0.40069,0.31922,-0.03334,-2.0976,0.99083,-0.12186,-0.51979,-0.26558,-1.984,-0.06887,-0.31877,-0.62334,0.80556,0.56432,0.34264,0.096406,-0.18079,-0.25955,0.032687,0.59532,0.17183,0.32306,0.80849,-0.95968,0.5121,0.4755,312
-0.25762,-1.1361,0.65015,0.16045,-1.062,-0.58084,-0.78541,-0.93128,0.52065,-0.74727,-1.4614,-0.36483,-0.42655,-0.66192,-0.61902,-0.65238,-0.86705,-0.62354,-0.89096,-0.49077,-0.28672,-0.82674,0.39619,-3.1078,0.83368,-0.95823,0.24356,0.96481,-0.72753,-0.60547,-0.69581,-1.1947,0.69887,-0.69651,1.2471,-0.21585,-0.34093,2.7581,-0.94622,-0.57884,-1.275,-0.48563,-0.83377,-0.65875,-0.13037,-0.58803,-0.065842,-0.35436,0.17705,-0.55939,-1.3321,-0.5521,-0.99949,0.024029,-0.45829,-1.0045,0.091331,-2.3239,0.23962,-0.40277,0.035902,-0.89212,1.2633,-1.0466,-0.78519,2.9904,-1.3527,-0.71822,-1.0062,-0.20489,-0.49346,-0.97101,-0.6782,-0.5927,-0.46247,-0.33871,-0.44121,-0.424,-0.88971,-0.53809,-0.84875,-0.31794,-1.0045,-0.32178,-0.34679,-1.7094,0.91969,-1.1439,-1.0289,-0.5625,-0.7115,-1.1954,-0.15979,-0.45627,-1.1616,-0.16027,0.7654,-1.9709,-1.1122,0.049955,563
0.73403,0.52982,-1.6619,1.6822,1.1091,0.7518,0.93866,0.73751,-0.49923,0.51996,0.60391,0.48277,-0.43802,1.3438,0.83884,0.53247,1.757,0.53794,0.91038,0.46136,0.63135,0.65742,-0.68528,1.7545,-0.79213,0.45786,1.1297,-0.6629,0.757,0.52444,0.69726,0.60476,-1.0603,0.35459,-0.64226,-1.2527,0.84998,-2.1923,0.97651,1.2489,0.97433,-1.9073,0.60794,0.94966,-1.4173,0.73204,0.0013003,0.44775,-1.0819,0.59283,0.84915,0.42815,0.44541,-1.3252,0.54601,0.58924,0.85054,0.10026,0.12533,0.51274,0.3047,0.80687,-2.0269,1.033,0.39702,-1.8817,-1.1309,0.98069,0.68091,0.65182,0.51182,1.43,1.421,0.57139,0.57263,0.3798,1.0446,2.0905,0.44603,0.31754,1.7822,0.8712,1.9302,1.1943,0.69411,1.4853,-1.0791,0.96695,0.53535,0.52325,0.15187,0.4526,0.59269,0.64099,0.62244,0.44107,-1.2742,1.9603,0.63693,-1.4724,961
-0.093005,-1.7834,0.92898,-2.2042,-0.49095,-0.5776,-0.61905,-1.9005,-0.039151,0.000109,-0.089767,-1.3468,1.6344,-0.67057,-0.81492,-0.95144,-1.077,-0.12042,-0.39951,0.032927,-0.22765,-2.5146,1.7897,-4.3344,0.9746,-0.67531,-0.38534,0.90221,-0.49795,-1.1029,0.1644,-0.52914,-0.16106,-0.50885,1.166,-2.4926,-0.25798,3.6108,0.24219,-0.83631,-0.25388,-0.5672,-0.49277,-0.30883,1.8543,0.46906,-2.0259,-0.37677,1.0907,0.010316,-1.1667,-0.36393,-0.56815,0.95394,0.037412,0.60243,-1.835,-3.2561,0.030715,-0.48844,-0.53454,-0.036056,0.41951,-0.070125,-0.053574,0.61357,-0.090805,-0.85352,-1.2435,-0.043851,-0.68601,0.26717,0.36413,0.051631,0.013927,-0.16233,-3.4665,-1.4764,-0.61769,-0.038551,-2.6686,-0.16396,1.4909,-0.075093,-0.20656,-0.2875,1.0495,0.21318,0.26847,0.64757,-0.99461,-0.74672,0.033204,-0.59453,0.53567,-0.55909,-0.17812,-0.42777,-0.79813,2.2779,27
0.20914,-2.0248,1.5423,-0.72764,-0.65224,-1.0807,-0.16222,-1.3549,1.4466,0.0017924,-0.87435,-0.76418,-0.17033,-0.30337,-0.91296,-0.24705,-1.0434,0.1995,-0.75459,0.1536,-0.47578,-1.9158,0.29628,-5.7502,0.96268,-0.1882,-1.2844,1.1982,-0.09337,-1.403,0.60562,-0.65588,1.2833,-0.39006,0.45724,0.94415,0.43912,3.7601,-0.76767,0.22563,-1.0698,0.59841,-0.29604,0.18665,0.57606,-0.21135,-0.16639,-0.22358,1.2988,-0.057174,-0.19783,0.17208,-0.030166,0.89387,-0.21186,-0.32315,-0.85239,-5.0456,-0.93036,-0.22657,0.82055,-0.070307,2.1723,-0.31234,0.1731,4.0688,-0.51304,-1.2779,-0.18663,0.23577,-0.1387,-0.77888,-2.1823,0.43921,-0.4232,-0.0048547,-0.26615,0.13295,0.62151,0.34263,-3.0407,0.06701,-3.4854,-0.11896,-0.25401,-0.39972,1.2968,0.13823,-0.54898,0.63968,0.58028,-0.53481,0.017015,-0.54395,0.42949,-1.09,0.58638,-3.868,-0.078486,1.2885,198
-0.15429,1.5874,-1.061,-0.45981,0.043354,0.13783,0.12105,0.15245,-0.081344,-0.26793,-0.3334,0.80329,-0.14295,-0.61061,-0.3272,-0.18566,0.88858,0.47728,-0.10895,-0.55232,-0.1401,-0.5033,0.24704,2.6092,-0.12339,0.27875,-0.282,0.56849,-0.12985,0.11815,0.30547,-0.3118,-0.87839,-0.16503,-0.22723,-0.33247,0.28444,-1.3395,-0.17593,-0.00422,-0.025254,0.8696,0.041284,0.28754,-2.2316,0.51165,-0.17661,0.38972,-0.68504,-0.13289,-0.10711,0.076974,0.19693,0.0038273,0.02546,-0.24414,0.082036,0.76926,0.076652,-0.19756,-0.21679,0.17613,0.92342,0.37427,0.16528,-1.1061,-0.046249,0.37137,-0.89203,-0.17384,-0.72507,0.30197,-0.021741,-0.054133,0.1507,-0.068581,0.82217,0.43591,-0.20322,0.51502,0.39598,-0.32576,-0.92622,-0.1249,0.14565,0.18672,-0.000447,-0.094916,-0.28669,-0.50423,0.20124,-0.93855,0.52611,-0.067573,0.075204,-0.034391,-0.43552,0.036141,-0.15863,-0.37454,565
0.6454,2.2714,-1.388,1.4303,0.98698,1.4689,0.56917,0.61665,-2.8282,1.0737,0.894,0.78119,-0.26131,2.0357,0.75983,0.77706,1.3408,1.183,1.4239,0.87789,1.2783,2.4061,-1.3421,0.29646,-2.3989,1.1379,2.0019,0.25379,0.82751,0.21409,1.7442,1.1534,-0.95073,0.51789,-0.85421,-1.9017,0.90707,-3.4013,1.0783,1.6283,1.6477,-2.492,1.1563,0.90681,-2.84,1.3013,0.98373,0.45222,-1.4998,0.77937,0.83019,0.92954,1.3966,-0.87645,0.44474,1.0922,0.28793,0.89731,0.27328,0.98059,1.1042,1.1617,-0.89204,1.3129,1.0252,-1.7641,-1.7827,1.1527,1.0576,0.88395,1.1302,1.6232,1.5826,1.1214,1.3358,0.79688,0.14824,1.0181,0.50397,0.69966,1.4873,0.88371,2.7316,0.58219,0.44425,0.64869,-0.75163,1.243,0.86862,0.65452,0.45342,1.4546,0.49461,0.99936,1.1262,0.9944,-1.7299,2.8435,1.1,-3.0201,1165
0.70957,-2.2007,-0.82342,0.013375,1.5027,1.2178,0.85049,-2.2275,-1.1107,1.1831,1.0821,-1.8056,-0.24298,0.31283,0.57918,0.70719,0.64137,1.4375,0.58479,0.9794,0.25398,-1.9672,-0.60461,-5.2042,-0.92649,1.0706,-0.57811,-0.43955,0.21752,0.049027,1.5818,0.99475,1.6601,0.36793,-0.051828,1.0755,0.35574,-3.5766,1.3118,2.2143,0.88881,0.47219,1.405,0.24332,0.0067787,0.6789,0.93174,0.98047,2.6188,1.1458,0.83966,0.66589,0.95988,-0.078197,0.79482,1.76,-0.52834,-5.3408,0.30301,0.52323,1.6211,0.67356,-2.3273,0.75073,2.0415,5.2227,1.2555,1.3701,-1.8082,1.653,-0.061449,1.4416,1.6982,1.0231,1.6693,1.1471,-3.6312,-1.9881,0.394,-0.31387,0.63648,1.1257,-3.0386,0.27022,-0.30555,-0.36545,0.70192,0.17148,1.1001,0.98613,0.16375,0.91611,-0.024226,1.8159,1.7636,1.7338,-0.39985,-3.562,0.95094,-1.3591,285
0.17291,-1.1473,0.30115,0.046934,0.35241,-0.059539,0.0022931,-0.62623,0.015867,0.048985,-0.1657,0.71636,-0.6605,0.43056,-0.14706,-0.10791,0.11457,0.28084,-0.19051,0.36691,0.17851,0.24782,-0.060415,-2.0894,-0.17972,0.091493,0.21218,-0.34053,-0.16358,-0.26563,0.25152,-0.0081234,0.88199,0.22786,0.54401,0.052713,0.26582,-0.61916,0.075083,0.73583,-0.17287,-0.27878,0.0057964,0.27885,-0.92346,0.48602,-0.34649,0.013092,0.1448,0.11797,0.50438,0.34632,0.43793,-0.30545,-0.31151,0.13685,-0.31051,-2.0189,0.15587,-0.10062,0.36811,-0.0040479,0.77617,0.05302,0.69257,0.041319,1.0187,0.1885,-0.34436,0.60851,0.26381,0.24302,1.4462,0.17566,0.72842,0.069198,-1.2459,-0.11971,0.20925,-0.034735,-0.35638,0.30423,-0.046635,-0.11782,-0.095647,0.037987,-0.3459,-0.0058808,0.20771,-0.079753,-0.18835,0.21548,-0.065885,0.15024,0.38289,0.39122,0.45227,0.19989,0.058425,-0.44911,742
-0.46091,0.44769,-0.41333,0.038039,-0.49407,-0.54452,-0.40891,-0.51547,-0.0013809,-0.35586,-0.59619,-0.75391,0.81507,-0.23612,-0.62211,-0.056018,-0.51817,-0.49231,-0.1548,-0.42905,-0.074225,-0.75904,-0.19643,-2.2246,1.0856,-0.3278,-0.12745,0.25794,-0.14375,-0.12721,-0.24564,-0.11546,0.14731,-0.53417,0.048913,0.43598,-0.10984,1.9552,-0.53759,-0.56807,-0.016131,-0.061304,-0.21286,-0.16739,0.90773,-0.32123,-0.65266,-0.32237,0.26955,-0.13359,-0.23918,-0.027851,-0.42499,0.64747,-0.5393,0.070224,-0.89712,-0.53626,-0.12697,-0.44967,-0.53988,-0.35037,-0.024611,-0.21563,-0.56979,0.51088,1.48,-0.12237,-0.6915,-0.46134,-0.25008,-0.23111,-0.000369,-0.2131,-0.34337,-0.36762,-0.54792,-0.87518,-0.15706,-0.041992,-0.59776,-0.43051,-0.31745,-0.29087,0.018586,0.048594,0.24132,-0.13671,-0.31063,-0.22802,-0.1723,0.20888,-0.48988,-0.62214,-0.07394,-0.42779,0.04088,0.46207,-0.090868,0.0049179,396
0.41054,0.022769,-1.3774,-1.0296,0.86829,-0.27935,0.35154,1.6793,0.54223,0.089123,-0.042308,0.73228,0.62998,0.64123,1.9468,0.019244,0.95941,0.3178,0.74483,0.30672,0.64508,1.5271,0.65671,2.8692,-0.6758,-0.013393,-0.86863,0.90108,-0.11207,-0.62645,-0.78904,-0.71124,-1.1198,0.19075,-0.58855,-1.2773,0.11848,-1.8527,-0.33436,0.51067,-0.0036535,0.15753,0.19482,-0.46789,-0.7115,-0.58049,-0.79576,-0.70247,0.056263,0.10769,-0.26262,-0.17676,0.21157,0.67732,0.5853,-0.22276,1.0167,3.179,-0.51852,0.4564,0.27386,0.047811,1.6182,0.12871,0.46444,1.53,1.2714,-0.48386,0.95608,0.81686,-0.88374,0.13823,-0.028961,-0.30227,-0.093287,-0.026073,1.3954,0.71405,-0.31443,0.033604,1.8739,0.27691,-0.32051,-0.45372,0.12894,-0.024289,-0.74991,0.31531,0.001658,0.16654,-0.56788,-0.023155,0.14065,0.086503,0.6393,-0.27259,-0.9764,0.79691,-0.37821,0.24818,504
